iter	Passed	Remaining
442	1313	1651
443	1315	1646
444	1317	1642
445	1320	1639
446	1322	1635
447	1323	1631
448	1325	1626
449	1327	1622
450	1329	1617
451	1331	1613
452	1333	1610
453	1335	1605
454	1336	1601
455	1338	1596
456	1340	1592
457	1342	1588
458	1345	1585
459	1349	1584
460	1351	1579
461	1353	1575
462	1355	1572
463	1363	1575
464	1365	1571
465	1367	1567
466	1369	1562
467	1371	1558
468	1373	1554
469	1383	1560
470	1388	1559
471	1391	1556
472	1393	1552
473	1396	1549
474	1398	1545
475	1400	1541
476	1405	1540
477	1407	1537
478	1409	1533
479	1412	1529
480	1414	1526
481	1416	1522
482	1455	1557
483	1458	1554
484	1460	1550
485	1462	1546
486	1464	1542
487	1468	1541
488	1471	1537
489	1473	1533
490	1475	1530
491	1480	1528
492	1484	1526
493	1488	1524
494	1490	1520
495	1507	1532
496	1510	1528
497	1511	1524
498	1517	1523
499	1519	1519
500	1521	1515
501	1523	1511
502	1525	1507
503	1527	1503
504	1532	1502
505	1535	1498
506	1537	1495
507	1539	1491
508	1542	1487
509	1544	1483
510	1573	1505
511	1575	1501
512	1578	1498
513	1581	1494
514	1583	1490
515	1588	1489
516	1590	1485
517	1596	1485
518	1616	1498
519	1618	1494
520	1620	1490
521	1623	1486
522	1628	1484
523	1630	1480
524	1632	1476
525	1634	1473
526	1637	1469
527	1639	1465
528	1643	1463
529	1645	1459
530	1647	1455
531	1649	1450
532	1650	1446
533	1652	1442
534	1654	1437
535	1658	1435
536	1660	1431
537	1661	1426
538	1663	1422
539	1664	1418
540	1666	1414
541	1669	1410
542	1670	1406
543	1673	1402
544	1674	1398
545	1676	1393
546	1677	1389
547	1679	1385
548	1681	1381
549	1683	1377
550	1686	1374
551	1688	1370
552	1690	1366
553	1691	1361
554	1693	1357
555	1694	1353
556	1696	1349
557	1698	1345
558	1702	1343
559	1704	1339
560	1707	1336
561	1709	1332
562	1711	1328
563	1713	1324
564	1717	1322
565	1719	1318
566	1726	1318
567	1728	1314
568	1735	1314
569	1738	1311
570	1741	1308
571	1745	1305
572	1749	1303
573	1751	1299
574	1754	1296
575	1755	1292
576	1757	1288
577	1759	1284
578	1769	1286
579	1771	1283
580	1773	1279
581	1775	1275
582	1782	1274
583	1784	1271
584	1787	1268
585	1790	1264
586	1792	1261
587	1794	1257
588	1796	1253
589	1798	1249
590	1805	1249
591	1809	1247
592	1811	1243
593	1814	1239
594	1816	1236
595	1821	1234
596	1824	1231
597	1827	1228
598	1854	1241
599	1856	1237
600	1858	1233
601	1861	1230
602	1864	1227
603	1867	1224
604	1869	1220
605	1872	1217
606	1874	1213
607	1875	1209
608	1877	1205
609	1879	1201
610	1885	1200
611	1887	1196
612	1890	1193
613	1892	1189
614	1895	1186
615	1898	1183
616	1900	1179
617	1902	1176
618	1904	1172
619	1907	1168
620	1909	1165
621	1914	1163
622	1916	1159
623	1918	1155
624	1919	1151
625	1921	1148
626	1923	1144
627	1932	1144
628	1934	1141
629	1937	1137
630	1952	1141
631	1955	1138
632	1957	1134
633	1959	1131
634	1962	1127
635	1964	1124
636	1968	1121
637	1975	1120
638	1979	1118
639	1981	1114
640	1983	1110
641	1988	1109
642	1992	1106
643	1995	1103
644	1997	1099
645	1999	1095
646	2005	1094
647	2008	1090
648	2015	1090
649	2017	1086
650	2020	1082
651	2022	1079
652	2032	1080
653	2040	1079
654	2053	1081
655	2057	1078
656	2063	1077
657	2065	1073
658	2067	1070
659	2071	1067
660	2083	1068
661	2086	1065
662	2092	1063
